cluster,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
A_tape_droit,351,26,63,199,639,85.7
B_tape_tourne,3237,1307,599,1139,6282,88.4
C_manuscrit,0,0,20,11,31,0.0
