scope,field,agreement_pct,n_pairs
digital,sense,99.5,1022
digital,date_traded,62.2,1575
digital,date_filed,0.6,1575
digital,amount_bucket,98.5,1022
ocr,sense,99.1,1376
ocr,date_traded,40.3,1729
ocr,date_filed,0.7,1729
ocr,amount_bucket,91.3,1376
both,sense,99.2,2398
both,date_traded,61.6,2721
both,date_filed,0.8,2721
both,amount_bucket,94.4,2398
