bioguide_id,name,docs,n_ocr,n_quiver,delta,verdict
M001157,Michael T. McCaul,12,3030,1894,1136,ocr>=quiver
R000586,James B. Renacci,20,1647,0,1647,quiver_sans_donnee
C000071,Dave Camp,10,601,0,601,quiver_sans_donnee
S001190,Bradley S. Schneider,12,425,6,419,ocr>=quiver
R000582,David P. Roe,10,311,0,311,quiver_sans_donnee
C001102,Curtis J. Clawson,3,310,0,310,quiver_sans_donnee
S001180,Kurt Schrader,12,263,0,263,quiver_sans_donnee
K000376,Mike Kelly,13,173,0,173,quiver_sans_donnee
R000395,Harold Dallas Rogers,11,122,0,122,quiver_sans_donnee
D000620,John K. Delaney,17,99,0,99,quiver_sans_donnee
B001273,Diane Black,19,93,0,93,quiver_sans_donnee
F000462,Lois Frankel,4,54,191,-137,ocr_souscompte
P000608,Scott H. Peters,7,54,14,40,ocr>=quiver
G000556,Alan Grayson,5,41,0,41,quiver_sans_donnee
P000591,Tom Price,1,36,0,36,quiver_sans_donnee
L000564,Doug Lamborn,7,34,0,34,quiver_sans_donnee
F000372,Rodney P. Frelinghuysen,13,32,0,32,quiver_sans_donnee
L000557,John B. Larson,12,31,0,31,quiver_sans_donnee
D000355,John D. Dingell,9,30,7,23,ocr>=quiver
F000459,"Charles J. ""Chuck"" Fleischmann",4,27,0,27,quiver_sans_donnee
C000556,Howard Coble,6,22,0,22,quiver_sans_donnee
W000413,Ed Whitfield,4,22,41,-19,ocr_souscompte
W000800,Peter Welch,10,22,0,22,quiver_sans_donnee
Y000063,Kevin Yoder,1,21,6,15,ocr>=quiver
M001187,Mark Meadows,3,20,0,20,quiver_sans_donnee
R000596,Trey Radel,2,17,0,17,quiver_sans_donnee
J000295,David P. Joyce,1,16,0,16,quiver_sans_donnee
S001150,Adam B. Schiff,8,12,0,12,quiver_sans_donnee
M000725,George Miller,1,11,2,9,ocr>=quiver
P000595,Gary C. Peters,3,10,0,10,quiver_sans_donnee
F000450,Virginia Foxx,2,10,26,-16,ocr_souscompte
D000617,Suzan K. DelBene,5,10,67,-57,ocr_souscompte
W000812,Ann Wagner,7,10,0,10,quiver_sans_donnee
C001047,Shelley Moore Capito,5,9,0,9,quiver_sans_donnee
B001260,Vern Buchanan,2,8,0,8,quiver_sans_donnee
G000535,Luis V. Gutierrez,6,8,1,7,ocr>=quiver
M000309,Carolyn McCarthy,2,8,0,8,quiver_sans_donnee
C001068,Steve Cohen,2,7,0,7,quiver_sans_donnee
W000207,Melvin L. Watt,2,6,0,6,quiver_sans_donnee
S001188,Marlin A. Stutzman,1,6,0,6,quiver_sans_donnee
C001092,Chris Collins,3,5,0,5,quiver_sans_donnee
R000592,Todd Rokita,2,5,0,5,quiver_sans_donnee
L000565,David Loebsack,1,4,0,4,quiver_sans_donnee
R000011,Nick J. Rahall,1,4,48,-44,ocr_souscompte
M001180,David B. McKinley,1,3,18,-15,ocr_souscompte
P000597,Chellie Pingree,1,3,0,3,quiver_sans_donnee
B001257,Gus M. Bilirakis,2,3,0,3,quiver_sans_donnee
S000244,F. James Sensenbrenner,2,3,0,3,quiver_sans_donnee
C001062,K. Michael Conaway,1,3,103,-100,ocr_souscompte
K000375,William R. Keating,1,2,0,2,quiver_sans_donnee
T000266,John F. Tierney,1,2,0,2,quiver_sans_donnee
C001066,Kathy Castor,2,2,4,-2,concordant
N000147,Eleanor Holmes Norton,1,2,0,2,quiver_sans_donnee
D000399,Lloyd Doggett,2,2,5,-3,concordant
G000551,Raúl M. Grijalva,1,2,55,-53,ocr_souscompte
C001090,Matt Cartwright,1,2,0,2,quiver_sans_donnee
T000465,Niki Tsongas,1,1,0,1,quiver_sans_donnee
B000574,Earl Blumenauer,1,1,5,-4,concordant
R000598,Keith J. Rothfus,1,1,0,1,quiver_sans_donnee
M001139,Gary G. Miller,1,1,0,1,quiver_sans_donnee
G000559,John Garamendi,1,1,0,1,quiver_sans_donnee
G000289,Bob Goodlatte,1,1,0,1,quiver_sans_donnee
D000533,John J. Duncan,1,1,0,1,quiver_sans_donnee
C001078,Gerald E. Connolly,1,1,3,-2,concordant
L000559,James R. Langevin,1,1,3,-2,concordant
