asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),1181,47,789,947,2964,60.9
Corporate Bond,0,0,0,179,179,
Gov Security,0,0,1,26,27,0.0
Mutual Fund,7,3,124,63,197,7.5
Stock,1192,563,3673,431,5859,32.3
