doc_id,extrait
20000077,"Filing ID #20000077 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • B-106 Cannon Building • Washington, DC 20515 filer information name: Mr. Robert E. Andrews Status: Member State/District: NJ01 tranSactionS iD owner asset transaction Date notific"
20000998,"Filing ID #20000998 P t r erioDic ranSaction ePort Clerk of the House of Representatives • Legislative Resource Center • B-106 Cannon Building • Washington, DC 20515 filer information name: Mr. Lou Barletta Status: Member State/District: Pa11 tranSactionS iD owner asset transaction Date notification"
20000284,"Filing ID #20000284 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • B-106 Cannon Building • Washington, DC 20515 filer information name: Hon. John A. Boehner Status: Member State/District: OH08 tranSactionS iD owner asset transaction Date notifica"
20000708,"Filing ID #20000708 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • B-106 Cannon Building • Washington, DC 20515 filer information name: Mr. Michael C. Burgess Status: Member State/District: TX26 tranSactionS iD owner asset transaction Date notifi"
20000612,"Filing ID #20000612 P t r erioDic ranSaction ePort Clerk of the House of Representatives • Legislative Resource Center • B-106 Cannon Building • Washington, DC 20515 filer information name: Mr. Luis V. Gutierrez Status: Member State/District: IL04 tranSactionS iD owner asset transaction Date notific"
20002214,"Filing ID #20002214 P t r erioDic ranSaction ePort Clerk of the House of Representatives • Legislative Resource Center • B-106 Cannon Building • Washington, DC 20515 filer information name: Hon. James R. Langevin Status: Member State/District: RI02 tranSactionS iD owner asset transaction Date notifi"
20001270,"Filing ID #20001270 P t r erioDic ranSaction ePort Clerk of the House of Representatives • Legislative Resource Center • B-106 Cannon Building • Washington, DC 20515 filer information name: Mr. James R. Langevin Status: Member State/District: RI02 tranSactionS iD owner asset transaction Date notific"
20000959,"Filing ID #20000959 P t r erioDic ranSaction ePort Clerk of the House of Representatives • Legislative Resource Center • B-106 Cannon Building • Washington, DC 20515 filer information name: Ms. Grace Meng Status: Member State/District: NY06 tranSactionS iD owner asset transaction Date notification a"
20001409,"Filing ID #20001409 P t r erioDic ranSaction ePort Clerk of the House of Representatives • Legislative Resource Center • B-106 Cannon Building • Washington, DC 20515 filer information name: Mr. Alan Nunnelee Status: Member State/District: Ms01 tranSactionS iD owner asset transaction Date notificatio"
20001378,"Filing ID #20001378 P t r erioDic ranSaction ePort Clerk of the house of Representatives • Legislative Resource Center • B-106 Cannon Building • Washington, DC 20515 filer information name: Mr. William L. Owens Status: Member State/District: NY21 tranSactionS iD owner asset transaction Date notifica"
20000605,"Filing ID #20000605 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • B-106 Cannon Building • Washington, DC 20515 filer information name: Mr. Nick J. Rahall II Status: Member State/District: WV03 tranSactionS iD owner asset transaction Date notific"
20001109,"Filing ID #20001109 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • B-106 Cannon Building • Washington, DC 20515 filer information name: Mr. Nick J. Rahall II Status: Member State/District: WV03 tranSactionS iD owner asset transaction Date notific"
20000815,"Filing ID #20000815 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • B-106 Cannon Building • Washington, DC 20515 filer information name: Ms. Niki Tsongas Status: Member State/District: Ma03 tranSactionS iD owner asset transaction Date notification"
20002141,"Filing ID #20002141 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • B-106 Cannon Building • Washington, DC 20515 filer information name: Hon. Ed Whitfield Status: Member State/District: KY01 tranSactionS iD owner asset transaction Date notificatio"
20001669,"Filing ID #20001669 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • B-106 Cannon Building • Washington, DC 20515 filer information name: Mr. Ed Whitfield Status: Member State/District: KY01 tranSactionS iD owner asset transaction Date notification"
