year,n_ptr,n_lisible,n_non_lisible,n_txns_digital,yield_rate,n_declarants,quiver_coverage_pct,set_matched,set_only_quiver,set_only_nous,vrais_trades_manques
2015,690,390,300,3657,97.7,67,47.2,1732,1935,42,971
2014,667,285,382,1502,94.7,53,36.0,980,1742,24,266
2016,742,450,292,3518,96.7,76,35.0,1673,3107,13,1007
2017,777,506,271,3483,96.0,84,28.3,1767,4474,65,881
2018,809,533,276,4143,99.2,72,30.0,2385,5572,482,200
2019,670,520,150,5191,99.6,87,47.4,3633,4039,521,24
