last,first,filing_type,state_dist,filing_date,doc_id,year
Curtis,John,P,UT03,2/4/2021,20018140,2021
Curtis,John,P,UT03,7/6/2021,20019020,2021
Curtis,John,P,UT03,8/6/2021,20019228,2021
Curtis,John,P,UT03,9/2/2021,20019415,2021
Curtis,John,P,UT03,9/17/2021,20019492,2021
Curtis,John,P,UT03,11/16/2021,20019828,2021
Curtis,John,P,UT03,12/3/2021,20019939,2021
Davidson,Warren,P,OH08,3/25/2021,20017743,2021
DelBene,Suzan K.,P,WA01,1/13/2021,20017962,2021
DelBene,Suzan K.,P,WA01,2/16/2021,20018128,2021
DelBene,Suzan K.,P,WA01,3/17/2021,20018303,2021
DelBene,Suzan K.,P,WA01,4/13/2021,20018499,2021
DelBene,Suzan K.,P,WA01,5/14/2021,20018681,2021
DelBene,Suzan K.,P,WA01,6/12/2021,20018838,2021
DelBene,Suzan K.,P,WA01,7/19/2021,20019016,2021
DelBene,Suzan K.,P,WA01,8/6/2021,20019216,2021
DelBene,Suzan K.,P,WA01,9/15/2021,20019414,2021
DelBene,Suzan K.,P,WA01,10/15/2021,20019571,2021
DelBene,Suzan K.,P,WA01,10/29/2021,20019708,2021
DelBene,Suzan K.,P,WA01,11/19/2021,20019816,2021
DelBene,Suzan K.,P,WA01,12/2/2021,20019922,2021
DelBene,Suzan K.,P,WA01,12/28/2021,20020052,2021
Diaz-Balart,Mario,P,FL25,5/18/2021,20018764,2021
Dingell,Debbie,P,MI12,1/13/2021,20017983,2021
Dingell,Debbie,P,MI12,2/1/2021,20018112,2021
Dingell,Debbie,P,MI12,3/10/2021,20018361,2021
Dingell,Debbie,P,MI12,3/25/2021,20018459,2021
Dingell,Debbie,P,MI12,4/1/2021,20018488,2021
Dingell,Debbie,P,MI12,5/3/2021,20018643,2021
Dingell,Debbie,P,MI12,6/15/2021,20018918,2021
Dingell,Debbie,P,MI12,6/29/2021,20018962,2021
Dingell,Debbie,P,MI12,10/11/2021,20019591,2021
Dingell,Debbie,P,MI12,12/10/2021,20019967,2021
Doggett,Lloyd,P,TX35,1/6/2021,20017977,2021
Doggett,Lloyd,P,TX35,3/8/2021,20018349,2021
Doggett,Lloyd,P,TX35,4/7/2021,20018533,2021
Doggett,Lloyd,P,TX35,5/6/2021,20018695,2021
Doggett,Lloyd,P,TX35,6/30/2021,20019003,2021
Doggett,Lloyd,P,TX35,7/6/2021,20019031,2021
Doggett,Lloyd,P,TX35,8/13/2021,20019318,2021
Doggett,Lloyd,P,TX35,9/7/2021,20019437,2021
Doggett,Lloyd,P,TX35,10/7/2021,20019598,2021
Doggett,Lloyd,P,TX35,11/18/2021,20019848,2021
Doggett,Lloyd,P,TX35,12/6/2021,20019957,2021
Dunn,"Neal Patrick MD, Facs",P,FL02,1/15/2021,20018007,2021
Dunn,"Neal Patrick MD, Facs",P,FL02,3/24/2021,20018369,2021
Evans,Dwight,P,PA03,2/9/2021,20018181,2021
Evans,Dwight,P,PA03,7/9/2021,20019061,2021
