doc_id,last,first,filing_type,state_district,filing_date_raw,disclosure_date,declarant_name,url_pdf
8218417,Bilirakis,Gus M.,P,FL12,10/29/2021,2021-10-29,Gus M. Bilirakis,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218417.pdf
20017979,Blumenauer,Earl,P,OR03,1/6/2021,2021-01-06,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20017979.pdf
20018142,Blumenauer,Earl,P,OR03,2/3/2021,2021-02-03,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018142.pdf
20018321,Blumenauer,Earl,P,OR03,3/3/2021,2021-03-03,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018321.pdf
20018338,Blumenauer,Earl,P,OR03,3/5/2021,2021-03-05,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018338.pdf
20018506,Blumenauer,Earl,P,OR03,4/2/2021,2021-04-02,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018506.pdf
20018685,Blumenauer,Earl,P,OR03,5/4/2021,2021-05-04,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018685.pdf
20018812,Blumenauer,Earl,P,OR03,5/27/2021,2021-05-27,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018812.pdf
20018819,Blumenauer,Earl,P,OR03,5/28/2021,2021-05-28,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018819.pdf
20018890,Blumenauer,Earl,P,OR03,6/9/2021,2021-06-09,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018890.pdf
20019026,Blumenauer,Earl,P,OR03,7/5/2021,2021-07-05,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019026.pdf
