bioguide,ticker,date,sense
B000574,PART INTEREST,2021-04-15,Sale
C001101,SBUX,2021-07-27,Sale
F000472,DFS,2021-05-20,Purchase
F000472,DFS,2021-05-20,Sale
F000472,T,2021-05-20,Sale
F000472,VTRS,2021-05-20,Purchase
H001082,ICLR,2021-05-18,Purchase
H001091,D/B/A ELLIOTT,2021-03-05,Sale
L000397,BELGIUM,2021-08-09,Purchase
L000397,NXPI,2021-08-09,Purchase
L000590,CARR,2021-06-23,Purchase
L000590,NASDAQ,2021-03-25,Purchase
M001163,ZM,2020-09-04,Purchase
M001180,ORLY,2021-02-22,Purchase
M001186,BAX,2021-02-16,Sale
M001203,ANIK,2020-02-26,Purchase
M001212,CARDONA,2021-10-23,Sale
P000197,"MONTGOMERY, AL _2, SCHAUMBERG, IL _1",2021-07-22,Sale
P000197,RBLX,2021-12-20,Purchase
