asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),269,25,393,523,1210,42.8
AB,0,0,0,3,3,
CS,17,0,0,196,213,100.0
Corporate Bond,0,0,0,6,6,
ET,4,0,0,0,4,100.0
Gov Security,1,0,0,254,255,100.0
HN,0,0,0,3,3,
Mutual Fund,9,36,101,59,205,30.8
OL,3,0,0,2,5,100.0
Option,174,0,1,0,175,99.4
Other,18,0,1,62,81,94.7
Other Investment,0,0,0,1,1,
PS,0,0,0,21,21,
SA,0,0,0,1,1,
Stock,5714,1179,2773,422,10088,71.3
VA,0,0,0,2,2,
