field,agreement_pct,n_pairs,note
sense,91.7,797,désaccords = artefact merge option-vs-action même jour (cf. AUDIT_SENAT.md)
date_traded,99.4,640,appariement sur Quiver Traded = vraie date de trade
date_filed,0.0,640,Filed ≠ date de trade → ne pas apparier dessus
amount_bucket,91.5,797,Quiver Trade_Size_USD = borne basse exacte de la fourchette
